number,name,status
PEP 3003 – Python Language Moratorium,PEP 3003 – Python Language Moratorium,Final
PEP 754 – IEEE 754 Floating Point Special Values,PEP 754 – IEEE 754 Floating Point Special Values,Rejected
PEP 727 – Documentation Metadata in Typing,PEP 727 – Documentation Metadata in Typing,Draft
PEP 726 – Module ,PEP 726 – Module,Draft
PEP 725 – Specifying external dependencies in pyproject.toml,PEP 725 – Specifying external dependencies in pyproject.toml,Draft
PEP 724 – Stricter Type Guards,PEP 724 – Stricter Type Guards,Draft
PEP 723 – Embedding pyproject.toml in single-file scripts,PEP 723 – Embedding pyproject.toml in single-file scripts,Draft
PEP 722 – Dependency specification for single-file scripts,PEP 722 – Dependency specification for single-file scripts,Draft
PEP 801 – Reserved,PEP 801 – Reserved,Active
PEP 721 – Using tarfile.data_filter for source distribution extraction,PEP 721 – Using tarfile.data_filter for source distribution extraction,Final
PEP 714 – Rename dist-info-metadata in the Simple API,PEP 714 – Rename dist-info-metadata in the Simple API,Accepted
PEP 713 – Callable Modules,PEP 713 – Callable Modules,Rejected
PEP 711 – PyBI: a standard format for distributing Python Binaries,PEP 711 – PyBI: a standard format for distributing Python Binaries,Draft
PEP 710 – Recording the provenance of installed packages,PEP 710 – Recording the provenance of installed packages,Draft
PEP 709 – Inlined comprehensions,PEP 709 – Inlined comprehensions,Accepted
PEP 708 – Extending the Repository API to Mitigate Dependency Confusion Attacks,PEP 708 – Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional
PEP 712 – Adding a “converter” parameter to dataclasses.field,PEP 712 – Adding a “converter” parameter to dataclasses.field,Draft
PEP 706 – Filter for tarfile.extractall,PEP 706 – Filter for tarfile.extractall,Final
PEP 705 – TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,PEP 705 – TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,Draft
PEP 704 – Require virtual environments by default for package installers,PEP 704 – Require virtual environments by default for package installers,Withdrawn
PEP 703 – Making the Global Interpreter Lock Optional in CPython,PEP 703 – Making the Global Interpreter Lock Optional in CPython,Draft
PEP 702 – Marking deprecations using the type system,PEP 702 – Marking deprecations using the type system,Draft
PEP 701 – Syntactic formalization of f-strings,PEP 701 – Syntactic formalization of f-strings,Accepted
PEP 697 – Limited C API for Extending Opaque Types,PEP 697 – Limited C API for Extending Opaque Types,Final
PEP 707 – A simplified signature for __exit__ and __aexit__,PEP 707 – A simplified signature for __exit__ and __aexit__,Rejected
PEP 696 – Type defaults for TypeVarLikes,PEP 696 – Type defaults for TypeVarLikes,Draft
PEP 694 – Upload 2.0 API for Python Package Repositories,PEP 694 – Upload 2.0 API for Python Package Repositories,Draft
PEP 693 – Python 3.12 Release Schedule,PEP 693 – Python 3.12 Release Schedule,Active
PEP 692 – Using TypedDict for more precise **kwargs typing,PEP 692 – Using TypedDict for more precise **kwargs typing,Accepted
PEP 691 – JSON-based Simple API for Python Package Indexes,PEP 691 – JSON-based Simple API for Python Package Indexes,Accepted
PEP 695 – Type Parameter Syntax,PEP 695 – Type Parameter Syntax,Accepted
PEP 690 – Lazy Imports,PEP 690 – Lazy Imports,Rejected
PEP 689 – Unstable C API tier,PEP 689 – Unstable C API tier,Final
PEP 687 – Isolating modules in the standard library,PEP 687 – Isolating modules in the standard library,Accepted
PEP 685 – Comparison of extra names for optional distribution dependencies,PEP 685 – Comparison of extra names for optional distribution dependencies,Accepted
PEP 688 – Making the buffer protocol accessible in Python,PEP 688 – Making the buffer protocol accessible in Python,Accepted
PEP 684 – A Per-Interpreter GIL,PEP 684 – A Per-Interpreter GIL,Accepted
PEP 686 – Make UTF-8 mode default,PEP 686 – Make UTF-8 mode default,Accepted
"PEP 683 – Immortal Objects, Using a Fixed Refcount","PEP 683 – Immortal Objects, Using a Fixed Refcount",Accepted
PEP 682 – Format Specifier for Signed Zero,PEP 682 – Format Specifier for Signed Zero,Final
PEP 681 – Data Class Transforms,PEP 681 – Data Class Transforms,Accepted
PEP 678 – Enriching Exceptions with Notes,PEP 678 – Enriching Exceptions with Notes,Accepted
PEP 680 – tomllib: Support for Parsing TOML in the Standard Library,PEP 680 – tomllib: Support for Parsing TOML in the Standard Library,Accepted
PEP 679 – Allow parentheses in assert statements,PEP 679 – Allow parentheses in assert statements,Draft
PEP 673 – Self Type,PEP 673 – Self Type,Accepted
PEP 672 – Unicode-related Security Considerations for Python,PEP 672 – Unicode-related Security Considerations for Python,Active
PEP 671 – Syntax for late-bound function argument defaults,PEP 671 – Syntax for late-bound function argument defaults,Draft
PEP 670 – Convert macros to functions in the Python C API,PEP 670 – Convert macros to functions in the Python C API,Final
PEP 667 – Consistent views of namespaces,PEP 667 – Consistent views of namespaces,Draft
PEP 669 – Low Impact Monitoring for CPython,PEP 669 – Low Impact Monitoring for CPython,Accepted
PEP 668 – Marking Python base environments as “externally managed”,PEP 668 – Marking Python base environments as “externally managed”,Accepted
PEP 666 – Reject Foolish Indentation,PEP 666 – Reject Foolish Indentation,Rejected
PEP 665 – A file format to list Python dependencies for reproducibility of an application,PEP 665 – A file format to list Python dependencies for reproducibility of an application,Rejected
"PEP 663 – Standardizing Enum str(), repr(), and format() behaviors","PEP 663 – Standardizing Enum str(), repr(), and format() behaviors",Rejected
PEP 662 – Editable installs via virtual wheels,PEP 662 – Editable installs via virtual wheels,Rejected
PEP 664 – Python 3.11 Release Schedule,PEP 664 – Python 3.11 Release Schedule,Active
PEP 661 – Sentinel Values,PEP 661 – Sentinel Values,Draft
PEP 655 – Marking individual TypedDict items as required or potentially-missing,PEP 655 – Marking individual TypedDict items as required or potentially-missing,Accepted
PEP 656 – Platform Tag for Linux Distributions Using Musl,PEP 656 – Platform Tag for Linux Distributions Using Musl,Final
PEP 654 – Exception Groups and except*,PEP 654 – Exception Groups and except*,Accepted
PEP 647 – User-Defined Type Guards,PEP 647 – User-Defined Type Guards,Accepted
PEP 653 – Precise Semantics for Pattern Matching,PEP 653 – Precise Semantics for Pattern Matching,Draft
PEP 652 – Maintaining the Stable ABI,PEP 652 – Maintaining the Stable ABI,Final
PEP 651 – Robust Stack Overflow Handling,PEP 651 – Robust Stack Overflow Handling,Rejected
PEP 650 – Specifying Installer Requirements for Python Projects,PEP 650 – Specifying Installer Requirements for Python Projects,Withdrawn
PEP 648 – Extensible customizations of the interpreter at startup,PEP 648 – Extensible customizations of the interpreter at startup,Rejected
PEP 649 – Deferred Evaluation Of Annotations Using Descriptors,PEP 649 – Deferred Evaluation Of Annotations Using Descriptors,Accepted
PEP 646 – Variadic Generics,PEP 646 – Variadic Generics,Accepted
PEP 643 – Metadata for Package Source Distributions,PEP 643 – Metadata for Package Source Distributions,Final
PEP 644 – Require OpenSSL 1.1.1 or newer,PEP 644 – Require OpenSSL 1.1.1 or newer,Final
PEP 641 – Using an underscore in the version portion of Python 3.10 compatibility tags,PEP 641 – Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
PEP 642 – Explicit Pattern Syntax for Structural Pattern Matching,PEP 642 – Explicit Pattern Syntax for Structural Pattern Matching,Rejected
PEP 645 – Allow writing optional types as ,PEP 645 – Allow writing optional types as,Withdrawn
PEP 634 – Structural Pattern Matching: Specification,PEP 634 – Structural Pattern Matching: Specification,Accepted
PEP 635 – Structural Pattern Matching: Motivation and Rationale,PEP 635 – Structural Pattern Matching: Motivation and Rationale,Final
PEP 636 – Structural Pattern Matching: Tutorial,PEP 636 – Structural Pattern Matching: Tutorial,Final
PEP 628 – Add ,PEP 628 – Add,Final
PEP 627 – Recording installed projects,PEP 627 – Recording installed projects,Final
PEP 626 – Precise line numbers for debugging and other tools.,PEP 626 – Precise line numbers for debugging and other tools.,Final
PEP 629 – Versioning PyPI’s Simple API,PEP 629 – Versioning PyPI’s Simple API,Final
PEP 633 – Dependency specification in pyproject.toml using an exploded TOML table,PEP 633 – Dependency specification in pyproject.toml using an exploded TOML table,Rejected
PEP 631 – Dependency specification in pyproject.toml based on PEP 508,PEP 631 – Dependency specification in pyproject.toml based on PEP 508,Superseded
PEP 632 – Deprecate distutils module,PEP 632 – Deprecate distutils module,Accepted
PEP 630 – Isolating Extension Modules,PEP 630 – Isolating Extension Modules,Final
PEP 625 – Filename of a Source Distribution,PEP 625 – Filename of a Source Distribution,Accepted
PEP 624 – Remove Py_UNICODE encoder APIs,PEP 624 – Remove Py_UNICODE encoder APIs,Final
PEP 623 – Remove wstr from Unicode,PEP 623 – Remove wstr from Unicode,Final
PEP 621 – Storing project metadata in pyproject.toml,PEP 621 – Storing project metadata in pyproject.toml,Final
PEP 620 – Hide implementation details from the C API,PEP 620 – Hide implementation details from the C API,Withdrawn
PEP 619 – Python 3.10 Release Schedule,PEP 619 – Python 3.10 Release Schedule,Active
PEP 618 – Add Optional Length-Checking To zip,PEP 618 – Add Optional Length-Checking To zip,Final
PEP 622 – Structural Pattern Matching,PEP 622 – Structural Pattern Matching,Superseded
PEP 606 – Python Compatibility Version,PEP 606 – Python Compatibility Version,Rejected
PEP 612 – Parameter Specification Variables,PEP 612 – Parameter Specification Variables,Accepted
PEP 611 – The one million limit,PEP 611 – The one million limit,Withdrawn
PEP 617 – New PEG parser for CPython,PEP 617 – New PEG parser for CPython,Accepted
PEP 607 – Reducing CPython’s Feature Delivery Latency,PEP 607 – Reducing CPython’s Feature Delivery Latency,Final
PEP 608 – Coordinated Python release,PEP 608 – Coordinated Python release,Rejected
PEP 609 – Python Packaging Authority (PyPA) Governance,PEP 609 – Python Packaging Authority (PyPA) Governance,Active
PEP 610 – Recording the Direct URL Origin of installed distributions,PEP 610 – Recording the Direct URL Origin of installed distributions,Final
PEP 604 – Allow writing union types as ,PEP 604 – Allow writing union types as,Accepted
PEP 603 – Adding a frozenmap type to collections,PEP 603 – Adding a frozenmap type to collections,Draft
PEP 602 – Annual Release Cycle for Python,PEP 602 – Annual Release Cycle for Python,Accepted
PEP 601 – Forbid return/break/continue breaking out of finally,PEP 601 – Forbid return/break/continue breaking out of finally,Rejected
PEP 600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,PEP 600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
PEP 599 – The manylinux2014 Platform Tag,PEP 599 – The manylinux2014 Platform Tag,Superseded
PEP 598 – Introducing incremental feature releases,PEP 598 – Introducing incremental feature releases,Withdrawn
PEP 605 – A rolling feature release stream for CPython,PEP 605 – A rolling feature release stream for CPython,Rejected
PEP 590 – Vectorcall: a fast calling protocol for CPython,PEP 590 – Vectorcall: a fast calling protocol for CPython,Accepted
PEP 591 – Adding a final qualifier to typing,PEP 591 – Adding a final qualifier to typing,Accepted
PEP 588 – GitHub Issues Migration Plan,PEP 588 – GitHub Issues Migration Plan,Draft
PEP 587 – Python Initialization Configuration,PEP 587 – Python Initialization Configuration,Final
PEP 592 – Adding “Yank” Support to the Simple API,PEP 592 – Adding “Yank” Support to the Simple API,Final
PEP 593 – Flexible function and variable annotations,PEP 593 – Flexible function and variable annotations,Accepted
PEP 589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,PEP 589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Accepted
PEP 586 – Literal Types,PEP 586 – Literal Types,Accepted
PEP 585 – Type Hinting Generics In Standard Collections,PEP 585 – Type Hinting Generics In Standard Collections,Final
PEP 584 – Add Union Operators To dict,PEP 584 – Add Union Operators To dict,Final
PEP 583 – A Concurrency Memory Model for Python,PEP 583 – A Concurrency Memory Model for Python,Withdrawn
PEP 580 – The C call protocol,PEP 580 – The C call protocol,Rejected
PEP 582 – Python local packages directory,PEP 582 – Python local packages directory,Rejected
PEP 579 – Refactoring C functions and methods,PEP 579 – Refactoring C functions and methods,Final
PEP 581 – Using GitHub Issues for CPython,PEP 581 – Using GitHub Issues for CPython,Accepted
PEP 573 – Module State Access from C Extension Methods,PEP 573 – Module State Access from C Extension Methods,Final
PEP 572 – Assignment Expressions,PEP 572 – Assignment Expressions,Final
PEP 571 – The manylinux2010 Platform Tag,PEP 571 – The manylinux2010 Platform Tag,Superseded
PEP 570 – Python Positional-Only Parameters,PEP 570 – Python Positional-Only Parameters,Final
PEP 578 – Python Runtime Audit Hooks,PEP 578 – Python Runtime Audit Hooks,Accepted
PEP 569 – Python 3.8 Release Schedule,PEP 569 – Python 3.8 Release Schedule,Active
PEP 568 – Generator-sensitivity for Context Variables,PEP 568 – Generator-sensitivity for Context Variables,Deferred
PEP 567 – Context Variables,PEP 567 – Context Variables,Final
PEP 566 – Metadata for Python Software Packages 2.1,PEP 566 – Metadata for Python Software Packages 2.1,Final
PEP 565 – Show DeprecationWarning in __main__,PEP 565 – Show DeprecationWarning in __main__,Final
PEP 564 – Add new time functions with nanosecond resolution,PEP 564 – Add new time functions with nanosecond resolution,Final
PEP 563 – Postponed Evaluation of Annotations,PEP 563 – Postponed Evaluation of Annotations,Accepted
PEP 562 – Module __getattr__ and __dir__,PEP 562 – Module __getattr__ and __dir__,Final
PEP 561 – Distributing and Packaging Type Information,PEP 561 – Distributing and Packaging Type Information,Final
PEP 560 – Core support for typing module and generic types,PEP 560 – Core support for typing module and generic types,Accepted
PEP 559 – Built-in noop(),PEP 559 – Built-in noop(),Rejected
PEP 558 – Defined semantics for locals(),PEP 558 – Defined semantics for locals(),Deferred
PEP 557 – Data Classes,PEP 557 – Data Classes,Final
PEP 556 – Threaded garbage collection,PEP 556 – Threaded garbage collection,Deferred
PEP 555 – Context-local variables (contextvars),PEP 555 – Context-local variables (contextvars),Withdrawn
PEP 554 – Multiple Interpreters in the Stdlib,PEP 554 – Multiple Interpreters in the Stdlib,Draft
PEP 549 – Instance Descriptors,PEP 549 – Instance Descriptors,Rejected
PEP 548 – More Flexible Loop Control,PEP 548 – More Flexible Loop Control,Rejected
PEP 550 – Execution Context,PEP 550 – Execution Context,Withdrawn
PEP 545 – Python Documentation Translations,PEP 545 – Python Documentation Translations,Final
PEP 547 – Running extension modules using the -m option,PEP 547 – Running extension modules using the -m option,Deferred
PEP 546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,PEP 546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
PEP 543 – A Unified TLS API for Python,PEP 543 – A Unified TLS API for Python,Withdrawn
PEP 544 – Protocols: Structural subtyping (static duck typing),PEP 544 – Protocols: Structural subtyping (static duck typing),Accepted
PEP 541 – Package Index Name Retention,PEP 541 – Package Index Name Retention,Final
